,treat_logFC_target,treat_logFC_NCS
743,PNPO,3.84979207055919
744,GUCY1B3,-2.62301852006182
745,NR1H3,4.1570048840622595
746,EMD,-2.38282124705072
747,PNRC1,-3.0684132304503704
748,PLCB3,3.39201435689425
749,IFNGR1,-3.4335461173434
750,CRK,4.07300759939501
751,CCKBR,-3.57582126896371
752,SRSF4,2.7515886630947204
753,ABCF1,-2.66623214919387
754,KEAP1,-2.63476175256643
755,EGR3,2.8205167130974305
756,GLDC,-3.02151715913875
757,PPM1L,-3.5172194642393397
758,MEIS2,-2.50655897286673
759,NARS,-3.4952152404998498
760,MYLK,2.90337943118806
761,SCNN1G,-3.74760128708732
762,RBM34,2.79863603465307
763,IRGM,2.4041424615020097
764,SCNN1D,-4.05481150613181
765,SCNN1B,-4.0685347247424
766,SMARCAD1,3.2019320068091695
767,KCNJ8,2.4704081457041602
768,PGK1,2.51359874581473
769,CISD1,-3.01939675147279
770,BECN1,2.53207387431319
771,PEBP1,-2.9639075316305097
772,GBP2,2.6905815607280696
773,PHKA1,3.10088157786067
774,PARP3,3.0334943143732
775,PAX6,3.59884345946325
776,PTPN6,-3.1336288154981102
777,PHF23,3.35418632332672
778,ESR2,3.22640421679409
779,GNAQ,-2.4761984610312098
780,ATOX1,-3.09633852322029
781,ESR1,3.96473563406135
782,SETD1B,-2.9213222642311503
783,MELK,-2.7847821797850196
784,STK36,3.44591736324682
785,PPT1,3.02171878342723
786,STK38,-2.93065296664602
787,AGTR2,4.10285087467536
788,PHF2,3.60842719694412
789,GPR174,-2.9224905476452006
790,C12ORF51,-3.26640326678086
791,RPS7,2.42534648398485
792,RPS6,2.7690638716427403
793,CHIA,-3.27585018376776
794,RAF1,2.9190365995201897
795,SNX17,-2.42657153297123
796,STAT3,-3.1146688746330295
797,CHRNB2,-2.9706281903689598
798,MASTL,4.866665690323741
799,OAZ1,-3.78581478866487
800,GARS,2.87486171516181
801,CAST,-3.4997721865196496
802,FOSL2,-2.6473631829822097
803,C2,-3.38431832887672
804,PUS10,3.18355450035303
805,CD58,-2.87762340795554
806,C5,-2.77773019476118
807,SLC6A14,3.40030019556231
808,NDUFA4,3.7083864124745096
809,EPB41L2,2.39884357868457
810,PDAP1,3.7853399289759304
811,ALDH7A1,2.6958132461082407
812,GABRB2,3.15654072704896
813,CP,-4.203065484825601
814,ADAM28,3.9288274186580003
815,CYP1A2,3.15588913464746
816,SGK3,-2.82676279711222
817,ISOC1,-3.2906947656153798
818,EIF2AK2,3.2652501244084102
819,AGPAT2,-3.15608024281296
820,PDE4D,2.38183684898264
821,MYO10,3.31021202281183
822,SAT1,2.56603304447966
823,LEPREL1,-3.7360081650817003
824,AIMP2,3.3160393720574395
825,CYCS,3.5623603210135495
826,MAP2K3,2.97241377757454
827,SOX2,2.39074440841069
828,MAP2K5,2.84102198272958
829,SCAP,-3.34708235578078
830,PEX13,-3.3585417708226504
831,PEX12,2.50453922452926
832,NR1D2,2.5431411427163
833,MKX,4.16118872546255
834,RCHY1,-3.7897078527130197
835,DNA2,-3.9439111151443
836,CATSPER4,4.550300492070639
837,FAS,2.68708221761237
838,MLLT6,3.4516430597126297
839,CATSPER1,4.4951021514612695
