"","Model","XKA"
"DIAPH1",0.239034473030592,-0.339662147822302
"MAT1A",-0.443175497623518,0.30066737587957
"ITIH5",-1.85100086158837,-0.502327900929296
"CAPN15",-0.0164484172707508,-0.554049953119585
"WDR4",1.99616494058301,-1.24384393145112
"KYNU",-0.17279920928229,-0.340926995324859
"REEP1",1.37019334279515,-1.50356598990427
"LOC646862",-1.17459334958799,1.27595015614907
"ETHE1",-0.316947661721144,-0.94300101957124
"POLE3",0.447610312617242,-0.383521207003638
"LYPLAL1",1.55406696594764,-0.626288367460341
"GSTM1",0.496486611724539,-0.516312376848364
"SLC16A4",-0.965208614533076,0.568863706299332
"DCP2",0.414018995839298,-0.414383436578893
"URB2",-0.0177521664749865,0.370528338866662
"MICU2",-1.23848999895507,-0.416484467376075
"APOD",1.41152827529648,-2.08154531951102
"SESTD1",-0.201935486883343,-0.522512067753053
"WDYHV1",0.238796630853355,-0.410612476974022
"VWA5B2",-0.377055871274645,0.71768884320697
"SERPINA12",1.87087744516415,-1.11910573491869
"ZMAT3",1.04324456968063,-0.740531811059143
"SLC2A9",-0.239838643151514,0.870676513642558
"STK10",0.775055027913989,-1.43115219403447
"GNAI1",1.924396567096,-0.812276040001797
"MAN2A1",-0.0104118160543199,0.263395224162171
"UBE2T",0.62713371692151,-2.44479652933997
"GABPA",-0.230419865846014,0.369141786897916
"NCF2",0.267472608076524,-0.363413152273295
"NDRG1",0.243620233143478,-0.865567538858579
"SLC16A12",0.230406985582979,0.369834809264808
"TCEAL8",1.08894633702526,-0.751329270289828
"ZFP62",-0.660554379016519,0.447488173029193
"BEAN1",0.718276752613829,-0.76981097058327
"GPX7",0.254140113635886,-0.420198901445656
"FNIP2",0.145908792193391,0.466158970657535
"FMO2",-1.51887228375488,1.45732288364138
"CD84",0.507530549250968,-0.749013722350646
"TRIP6",0.138377651858351,-0.356498090839909
"DENND5B",-0.339633895730429,0.312293143574533
"PPP1R15B",0.0171487299017331,0.361711248179524
"SEPT12",1.5694879495986,-1.71668655264316
"CDT1",-0.120923136007907,-0.707463963204663
"FMO5",1.14764814955577,-0.344117524747215
"PIK3CB",0.119954086607272,0.429922652155201
"TALDO1",0.642971370299552,-0.458196406630587
"SP7",-0.278940905326031,0.766586476040235
"THY1",1.16806109093263,-1.57684504414921
"ZNF449",0.719293609129562,-0.870069632510296
"ECT2",1.34599762141761,-0.813658264618361
"CLOCK",-0.236008675247235,-0.553215964724342
"PBRM1",0.0674900273650861,0.284597775753167
"LAMA3",0.737433103515995,-0.543826851306367
"SLC35F2",2.80177081662994,-1.08462767488194
"EPT1",0.0292794079209982,-0.351515733934979
"ADCK5",-0.436570250305051,-0.364344206825467
"TOP2A",0.67130434189093,-1.91470001675864
"TRPC5",0.0382845832094308,0.593848075288437
"BCAN",-1.52370818351189,1.30422905527396
"HLTF",-0.00872267554438481,-0.316744023839716
"NTS",1.48881404044485,-1.90044699051109
"RALGAPA2",-0.592558384148008,0.415686049915777
"ANKRD16",-0.226825407766298,0.374692768285127
"CGNL1",0.94694379409743,-0.308709130837585
"TNK2",0.367973425292312,-0.515888522032758
"CITED2",0.525684732130336,-0.723880369224102
"PSEN2",-0.429925810639746,-0.431535532016722
"RASA2",0.771966246010871,-0.453512304176487
"ING1",-0.509542085438133,0.370628438860928
"SLC25A45",0.351403305440822,-0.454572664060294
"CENPE",1.27652163152558,-2.31935020046269
"C8orf4",1.5614830964773,0.877012656094761
"ANO4",2.1178644002481,-2.01616211133381
"AP2A2",0.343619006902519,-0.348382334096179
"KRT82",-0.276665471819318,-1.38875880159365
"COL3A1",0.71950630458256,-0.881857011885327
"CCDC146",3.29259987877569,-2.05085509286829
"ABCB1",0.575858041848069,0.750209645724498
"PHYHIP",-0.957453243157745,1.88620380134329
"UPK1A",0.119917471204356,-0.497624932158173
"DUSP5",-0.0956835826964098,1.4558411536293
"AEBP2",0.515386383177496,-0.287696056036396
"SCO2",0.210899566983283,-0.554841090658255
"MPZL1",-0.0698189411346411,-0.567038543088282
"LONRF3",0.214126060277283,1.06078346451341
"SLC1A4",1.39233656390192,-0.628993315863143
"SGCD",-0.697229712991699,1.71987216011283
"MCM4",0.402057199168496,-0.579929848072521
"MSR1",0.840446620077369,-0.747966287840067
"POLG2",-0.240269595648147,0.467739425194509
"IPO7",-0.515516569911086,0.397645433274858
"SH3BGRL",-0.0801309219727766,-0.345734345329115
"ERGIC1",0.537313330219612,-0.606861441447256
"WDR6",0.0540304588961628,-0.462588664494424
"CLIC1",0.328770422889483,-0.382659428329622
"GSG1",-1.33992659140024,1.96571552750219
"HNRNPD",-0.553368740032227,0.471780784700569
"C9orf50",-0.177244124942451,1.74448247908529
"STK17B",0.637362231739622,-0.553375055546711
"TECTA",-0.895154351395474,1.44826527059502
"SLC17A9",-0.516111083231547,1.3166475838869
"CLEC5A",-0.155520716159219,-2.44156110228959
"NPC1",-0.639063194233521,0.36792218501375
"CDA",0.0601729804718146,-0.589123176837727
"TAX1BP3",1.74893066348661,-0.701523783533337
"SART3",0.35931365332894,-0.608818572475511
"PDGFC",0.446240322930834,-0.785679854858815
"TEN1",1.03229058407302,-0.673753787629563
"TMTC2",-0.674154708237215,0.545413042127452
"SLC22A13",0.531352229992736,-0.689058287614167
"LMO2",1.17765755999858,-0.502151585201959
"RBM22",-0.335883104647402,0.385747224480701
"BAI3",2.11544393316437,-2.44151155085457
"TRIM14",0.388197451856494,-0.726533141056945
"SLC43A1",-0.346097399754925,0.472926142478811
"CLEC16A",0.916352427831891,-0.445590124472292
"FABP2",1.32319601646937,-0.379188026740944
"CDIP1",-0.0873283003891371,0.36023638008457
"DLL4",-0.0308204717194919,0.537184378405339
"ZC2HC1B",0.535269430904174,-0.774731889885137
"GARS",0.505929022809741,-0.399928251687396
"EIF3C",-0.120485888695075,0.266266072888901
"GBAS",-0.24218650892164,-0.292813385955626
"NR2C2AP",0.417131779624924,-0.452713959562529
"OR10A4",0.996519317511149,-1.07338082640424
"RAD51",1.41225058968649,-2.04224118888238
"TJP2",0.038677196137468,-0.386425857600254
"LPO",1.12864117188243,-1.79951749835936
"CENPB",1.12226794493905,-0.552877095988619
"EXOSC5",0.30446048640304,-0.371091826552068
"TOX",-1.18863742412649,0.783623930483511
"ASPRV1",-1.54368620310322,1.34603280913519
"BSG",0.683468827380162,-0.432271061092284
"SYT8",0.246607091467248,-1.48802310666149
"DCBLD1",0.47652321634593,-1.34174006462292
"SH2D3C",1.4047937442101,-0.641012489719543
"ESPL1",0.378026946269467,-1.20354129785783
"GRP",-0.216048422765672,0.779633079265203
"NUP210",0.194577019808736,-0.613999414435059
"WEE1",0.129556371386658,1.06256541685107
"PLBD1",0.0536714554249455,-0.374656779411373
"NOG",-2.05833452941218,1.34603901906682
"SPINK5",0.114618332216999,-2.43435769990313
"PIAS3",-0.650494531731087,0.57256075671456
"BNC2",-0.785436171270052,1.96312400610008
"RORC",0.114097004497409,0.499977920867056
"GDF15",0.456139580616717,-0.707651332220351
"PEX26",-0.0555267510566866,0.505068185979744
"FXR1",-0.621174815038228,0.340202269385784
"PLTP",0.51910064992671,-0.558811685459948
"SESN3",0.18304931354066,-0.539973606672481
"HMMR",0.314367217529397,-0.679607038591892
"PAPD7",-0.0353505249660212,0.342514328178192
"SETD5",-0.24311212914724,0.49129193695696
"SLC1A7",-1.41049112859811,1.75552966148218
"PIN1",0.241429913158778,-0.279372777189839
"WNT8A",-0.539552797954393,0.794016081047907
"C3orf70",1.13182920124381,-0.625335744627902
"PPP1R21",0.0116851797575566,-0.300719819692467
"RGS2",0.715630578765387,-1.11440199107233
"PHC2",0.237042271160802,-0.312759878437495
"LRRC61",-0.141147975100127,0.40636952085263
"LECT2",0.632369423986328,-0.420113007211567
"PCGF3",-0.354007261030701,0.344716561132313
"GPRC5D",1.35934993826619,-1.74317949626268
